headword,homonym,grammatical_label,gloss,pdf_page,distribution_label,proto_or_comparison_field,first_attestations,verification_status,flags
geban-,,s.v.,to give,212,,,"Go. giban s.v. 'id.', ON gefa s.v. 'id.', Far. geva s.v. 'id.', Elfd. djiiva s.v. 'id.', OE giefan s.v. 'id.', E to give, OFri. jeva,jewa, jowa, jouwa s.v. 'id.', OS geban s.v. 'id.', Du. geven s.v. 'id.', OHG geban s.v. 'id.', G geben s.v.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
gebi-,173,'id.' ⇒ \*lfo(m)-h₁ep- (IE),,213,gebU,,"Hitt. epzi, appanzi 'to take, seize' < \*h₁ep-ti, \*h₁p-enti; Skt. iipn6ti 'to reach, gain, take possession of < \*h₁e-h₁p-neu-; Lat. aplscor 'to seize, obtain' < \*h₁p-i-ske-; Alb. jap,jep 'to give' < \*h₁op-eie-. The verb is usually compared to Olr. gaibid 'to take, hold' < \*ghHbh-ie- (cf. Pokorny JEW: 407-9), but this is formally impossible because of the laryngeal. LIV2: 193 connects Lith. gebJti (gebU) 'to be able; to be used to' < \*ghebh-eh₁-ie-, but the semantics are problematic. An alternative etymology was offered by Kortlandt 1992: 104-5, who assumed a remodeling of \*ga-ef < \*lfo(m)-h₁ep-, thus establishing a direct connection with Lat. coepl 'seized' < \*lfo(m)-h₁eh₁p-. See al…",pdf-text-headword-found,missing-or-unparsed-gloss
gebi·,,adj.,having been given,213,ORV,,"ON grefr adj. 'quiet, meek', Far. grevur adj. 'doughty, excellent, honest', OFri. jeve, geve adj. 'usual(?)', MLG geve adj. 'pleasant', MHG grebe adj. 'acceptable, enjoyable, convenient' (ORV). The V[ddhi-gerundive to \*geban- (q.v.). The original meaning 'to be given, having been given' developed into a whole range of derived meanings in the daughter languages.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
gebla(n)·,,- \*gabla- m.,top,213,rn,\*ghebhh₂-1-o- (rn),"Go. gibla m. 'pinnacle', OHG gebal m. 'id.', MHG gebel m. 'id.'",pdf-text-headword-found,
ghobh-e/-m.,,"For another o-grade accusative, cf. \*belkan-",,213,,,\*balkan- - \*bulkan- 'beam'.,pdf-text-headword-found,suspicious-headword-characters; missing-or-unparsed-gloss; no-proto-arrow-or-distribution-detected
geb6-,,f.,"gift, present",213,ORV,,"Go. giba f. 'id.', ON gjpf f. 'id.', OE giefu f. 'id.', OFri. jeve,jowe,jouwe f. 'id.', OS geba, giba f. 'id.', OHG geba f. 'id.', MHG gebe f. 'id.' (ORV). Derived from \*geban- (q.v.).",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
geb6n-,,f.,gift; giving,213,ORV,,"ON gafa f. 'id.', Far. gava f. 'id.', Elfd. gava f. 'id.', MDu. gave f. 'id.', Du. gave c. 'id.', MHG giibe f. 'id.' (ORV). Derived from \*geban- (q.v.).",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
gela·,,m.,lust,213,NEUR,\*ghe/-o- (NEUR),OSw. girel-skaper m. 'unchastity',pdf-text-headword-found,
geldan-,,s.v.,"to pay, be worth something",213,,,"Go. fra-gildan s.v. 'to repay, compensate', ON gjalda s.v. 'to repay, pay for', Far. gjalda s.v. 'to pay, suffer',",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
gellan-,,s.v.,"to sound, yell",214,DRY,,"ON gjalla s.v. 'to yell, scream', Far. gjalla s.v. 'to sound', OE giellan 'to yell', E to yell, MDu. gellen, gillen s./w.v. 'to yell', Du. gillen w.v. 'id.', OHG gellan s.v. 'to sound, yell', MHG gellen s.v. 'to sound, cry', G gellen w.v. 'to yell' (DRY). The verb is sometimes derived from a Pre-Gm. n-present \*ghel-n-, but it is more likely that it arose as a back-formation to \*gullon-, the iterative to \*galan- (q.v.).",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
gelwa-,,- \*gulu- adj.,yellow,214,IE,\*gh(e)lh₃-u(o)- (IE),"ON gulr adj. 'id.', Far. gulur adj. 'id.', Elfd. guol adj. 'id.', OE geolo adj. 'id.', Eyellow, OS gelo, gelu adj. 'id.', OHG gelo adj. 'id.', MHG gel adj. 'id.', G gelb adj. 'id.'",pdf-text-headword-found,
gen-,,suppl.v.,to go,214,IE,\*ghehi- (IE),"Far. poet. gci suppl.v.(?) 'id.', Nw. ga suppl.v. 'id.', OSw. ga suppl.v. 'id.', Elfd. go suppl.v. 'id.', EDa. ga suppl.v. 'id.', Da. gti suppl.v. 'id.', OE grin suppl.v. 'id.', E to go, OFri. giin, gen suppl.v. 'id.', OS giin suppl.v. 'id.', MDu. gaen suppl.v. 'id.', Du. gaan suppl.v. 'id.', OHG giin, gen suppl.v. 'id.', G gehen suppl.v. 'id.'",pdf-text-headword-found,
gerdan-,,s.v.,to gird,215,IE,\*gherdh-e- (IE),Go. -gairdan\* s.v. 'id.',pdf-text-headword-found,
gerna-,,adj.,desirous,215,IE,\*gherh₁-no- (IE),"Go. -gairns adj. 'id.', ON gjarn adj. 'id.', Far. -gjarnur adj. 'id.', Elfd. djienna adv. 'id.', OE georn adj. 'id.', OFri. gerne, jerne adv. 'id.', OS gern adj. 'id.', Du. gaarne adv. 'id.', OHG gern adj. 'id.', G gern[e) adv. 'id.'",pdf-text-headword-found,
gersto-,,f.,barley,215,EUR/NIE?,\*ghersd-eh₂- (EUR/NIE?),"OS gersta f. 'id.', Du. gerst c. 'id.', OHG gersta f. 'id.', G Gerste f. 'id.'",pdf-text-headword-found,
gestra-,,adv.,the previous or next day,215,,,"Go. gistra-dagis adv. 'tomorrow', ON f grer, f gjar adv. 'yesterday; tomorrow', Icel. ( grer, gjar adv. 'yesterday', Far. f gjar adv. 'id.', OSw. f gii.r adv. 'id.', OE geostran-dreg, giestran-dreg adv.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
getan-,,s.v.,"to find (a way), to be able",216,IE,\*ghed-e- (IE),"Go. bi-gitan s.v. 'to find, discover', ON geta s.v. 'to get; to be able to', Elfd. djieta w.v. 'to try, guess', OE bi-gietan s.v. 'to beget', E to get, beget.forget, OFri. ur-ieta w.v. 'to forget', OS bi-getan s.v. 'to find', Du. ver-geten s.v. 'to forget', OHG bi-gezzan s.v. 'to obtain', fir-gezzan 'to forget', G vergessen s.v. 'to forget'",pdf-text-headword-found,
geuban-,,,,217,,,\*giiban- 177,pdf-text-headword-found,missing-or-unparsed-gloss; no-proto-arrow-or-distribution-detected
geuban-,,- \*guban- s.v.,"to blow, rush",217,GM,\*gheubh-e- (GM),"Nw. gjuva, guva s.v. 'id.'",pdf-text-headword-found,
geupan-,,s.v.,to be hollow,217,NEUR?,,"OE geopan s.v. 'to take up, swallow' (NEUR?) - Lith .gailbti 'to cover; vault' < \*ghoubh-. No clear etymology. If the frequentative E to gobble is related, it is likely that the strong verb continues Pre-Gm. \*geuppan- with a root-final geminate. The corresponding iterative 3sg. \*guppo/Ji, 3pl. \*gubunan/Ji would at any rate point to a formation \*ghubh-neh₂- with root-final \*bh. For the original meaning 'to vault, be hollow', cf. \*gaupno- 'hollow of the hand' and Nw. gop n. 'ravine' < \*gupa-.",pdf-text-headword-found,
geutan-,,s.v.,to pour,217,out,,"Go. giutan s.v. 'id.', ON gj6ta s.v. 'to drop, throw, cast young', Nw. gyte, gjote s.v. 'to pour, run, spawn', OE geotan s.v. 'to pout (out)', OS giotan s.v. 'id.', Du. gieten s.v. 'id.', OHG giozan s.v. 'to pour, mix, melt', G gieften s.v. 'to pour' (DRV) - Skt. juh6ti 'to pour; to sacrifice' < \*yhu-gheu-; ToAB ku- 'to pour, offer a libation', Gr. xf.w 'to pour, shed; to smelt' < \*gheu-e-. The verb is clearly derived from the PIE root \*gheu- 'to pour' (for which see \*gaujan-), but the root-final t is without counterpart in the other IE languages. Lat [undo, -ere 'to pour' is often adduced to reconstruct a root extension \*gheud- (with nasal infix in Latin), but it is not entirely certai…",pdf-text-headword-found,
gida-,,m.,"desire, greed",217,NEUR,\*gheidh-o(NEUR),"MHG git m. 'greed, stinginess'",pdf-text-headword-found,
gigen-,,w.v.,to desire,217,IE,\*ghei-ghh₂-oi- (IE),"Go. ga-geigan w.v. 'id.', Far. giggja w.v. 'to praise; to envy'",pdf-text-headword-found,
gimban-,,s.v.,to hop,218,GM,\*ghembh-e- (GM),MHG gimpen w.v. 'id.',pdf-text-headword-found,
ginan-,,s.v.,"to gape, yawn",218,DRV,,"ON gfna s.v. 'id.', OE to-ginan s.v. 'id.' (DRV) - Hitt. kfnuzi - kinuyanzi 'to open (up), break open' < \*ghhri-nu-; Lat. hio, -are . 'to be wide open, gape', Lith. ii6ti (ii6ju) 'to open (one's mouth)', OCS zijati 'to open (one's mouth)', Ru. zijat' (zijaju) 'yawn, gape', SCr. zljati 'yawn, shout' < \*ghh₂-i-eh₂-ie-. A strong verb based on \*ginen- (q.v.), a nasal present created to the i-present \*ghh₂-ei- (Lubotsky 2011: 107-9). It in turn gave rise to the iterative OE gcinian, OHG geinon 'to yawn' < \*gainon- and possibly also to OHG in-ginnan 'to open up, split' < \*ginnon- continuing quasi-PIE \*ghin-neh₂- or",pdf-text-headword-found,
"ghh₂-i-nu-e-,",,cf. Hitt. kinuzi,,218,,,kinyanzi. Also cf. \*giwen- and \*giwojan-.,not-found-in-pdf-text-layer,missing-or-unparsed-gloss; no-proto-arrow-or-distribution-detected
ginen-,,s.v.,to stand open(?),218,DRV?,\*ghh₂-i-n-eh₁- (DRV?),"Far. gina w.v. 'to straddle, walk with long strides', OHG ginen w.v. 'to yawn', MHG ginen, genen w.v. 'id.', G giihnen w.v. 'id.'",pdf-text-headword-found,
ginnan-,,s.v.,to begin,218,EUR?,,"Go. du-ginnan s.v. 'id.', OE be-ginnan s.v. 'id.', E to begin, OS be-ginnan s.v. 'id.', Du. be-ginnen s.v. 'id.', OHG bi-ginnan s.v. 'id.', G be-ginnen s.v. 'id.' (EUR?). A strong verb with no certain etymology. Possibly related to OCS po-ct;ti (po-Cbnp) 'to begin' < \*ken- and Oir. cet 'begin' < \*kn-to-: the initial \*g must then have developed from PIE \*k in a prefixed form. Others have compared Alb. ze 'to touch, catch, begin' < \*ghen-.",pdf-text-headword-found,
gintan-,,s.v.(?),to be startled(?),218,NEUR,,"G Swi. er-ginzen w.v. 'to cringe, shiver' (NEUR) - Lith. gijstas m. 'scare' < \*ghond-to-; Latv. gafidincit 'to scare' < \*ghond-nh₂-. The Swiss and Baltic forms have not yet been compared, but their form and meaning point to a shared root \*ghend- 'to startle'. See also \*ganta-.",pdf-text-headword-found,
gisla-,1,m.,shaft(?),218,WEUR,,"ON gfsl m. 'staff, ski stick', Icel. gfsli m. 'beam, ray', OHG Lomb. gisil 'arrow' (WEUR). Also cf. the originally oxytone Ice!. gill, Nw. dial. gil m. 'bright spot in clouds, halo around the sun' < \*gizla- < \*gheis-16- and - with ablaut - Nw.",pdf-text-headword-found,
gisla-,2,m.,hostage,219,WEUR?,\*ghei-slo- (WEUR?),"ON gfsl m. 'id.', OE gisel m. 'id.', OFri. jesel- 'id.', OS gisal m. 'id.', Du. gijzelaar m. 'id.', OHG gisal m. 'id.', G Geisel m. 'id.'",pdf-text-headword-found,
giwen-,,w.v.,"to desire, long for",219,IE,,"OE giwian, giowian w.v. 'id.', OHG ana-giwen w.v. 'id.' (IE). A stative verb with the same root as \*ginan- 'to gape, yawn' (q.v.). In view of the secondary meaning 'to desire', it must be an older formation than the related stative \*ginen- (q.v.). The intervocalic \*w has a parallel in \*giwojan-. Also cf. ON gja f. 'sensuality' < \*giwo-.",pdf-text-headword-found,
giwojan-,,w.v.,to yawn,219,IE,\*ghh₂-ei-u-eh₂-ie- (IE),"MDu. gewen w.v. 'id.', Du. geeuwen w.v. 'id.', OHG gewon w.v. 'id.', MHG giwen, gewen w.v. 'id.'",pdf-text-headword-found,
glada-,,adj.,"bright, happy",219,DRY,,"ON glaor adj. 'glad; bright', Far. glaour adj. 'happy, glad', Elfd. glao adj. 'id.', OE gleed adj. 'id.', E glad, OFri. gled adj. 'smooth, slippery', Du. glad adj. 'id.', OHG glat adj. 'bright, light; smooth', G glatt adj. 'smooth, slippery' (DRY) - ?Lith. zleja f. 'dusk' < \*gh/ehi-i-eh₂-. This adjective superficially appears to continue \*ghlodh-6- or \*ghladh·o( cf. Lat. glaber adj. 'bald'), but actually represents an intra-Germanic, quasi-PIE zero-grade derivation \*gh/P1-t6- to \*gloan- < \*ghl6h₁-e-, cf. the derivation of\*blada- 'leaf from \*blOan- 'to bloom' (q.v.).",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
glantjan-,,w.v.,"to shine, be bright",220,EUR,\*ghlond-eie- (EUR),"Ice!. gletta-st w.v. 'to make fun (of)', Far. gletta w.v. 'to grin, roar with laughter', Nw. gletta w.v. 'to peep', Sw. dial. gliinta w.v. 'to clear up, shine through; to be ajar'",pdf-text-headword-found,
glapp/bOn-,,w.v. 'to slip off,,220,NEUR,\*ghlobh-neh₂- (NEUR),"Ice!. afglapa w.v. 'to disturb, confuse', glappa-st w.v.refl. 'to fail', Sw. dial. glapa w.v. 'to be open'",pdf-text-headword-found,suspicious-headword-characters; missing-or-unparsed-gloss
glasa-,,- \*glaza- n.,glass,220,glassy,,"Ice!. gler n. 'glass', Far. glas n. 'glass', gler n. '(glassy) ice', OSw. glar n. 'glass', Elfd. glas n. 'id.', OE glces n. 'id.', E glass, OHG glas n. 'id.', G Glas n. 'id.' (DRV). An old s-stem derived from \*gl6an- (q.v.). Also cf. OE glաr m. 'amber', MLG gliir 'resin' < \*gleza- ( = Lat. glesum 'amber').",pdf-text-headword-found,
glauma-,,m.,jubilation,220,EUR,\*ghlou-mo- (EUR),"ON glaumr m. 'id.', OE gleam m. 'joyous noise, jubilation'",pdf-text-headword-found,
glawwa-,,adj.,sharp-sighted,220,EUR,\*ghlouH-6- (EUR),"Go. glaggws\* adj. 'cautious', ON gl/i1ggr adj. 'clear-sighted; clear; stingy', OE gleaw adj. 'clear-sighted, wise', OS glau adj. 'wise', OHG glau adj. 'cautious, wise'",pdf-text-headword-found,
gleppan-,,s.v. 'to slip off,,220,NEUR,,"Far. gleppa s.v. 'to slip out of position; to fail, let down', Nw. gleppa s.v. 'to slip; to turn out differently' (NEUR) - Lith. g/ebti (.glembil) 'to become smooth' < \*gh/e-m-bh-e-. The West Norse forms can be derived from either \*glempan- or \*gleppan-, but in either case, the root final consonant represents a (shortened) geminate that was adopted from the iteratives \*glupp/bon- and \*glapp/bon(q.v.). For the original consonantism, cf. OE glofn. 'cliff < \*gluba-; Nw. glove f. 'rift, ravine' < \*glub6n- and Du. gleuf c. 'groove, slot' < \*glubi-.",pdf-text-headword-found,missing-or-unparsed-gloss
gleupan-,,- \*gliipan- s.v.,to gape,220,,,"Nw. gljupa, glupa s.v. 'to gape; to snatch with the mouth; to devour', Sw. dial. gliopa, glupa s.v. 'to devour',",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
glidan-,181,"Elfd. glaupa s.v. 'id.', E dial. gloup 'to swallow', OFri. g/Upa s.v. 'to sneak'(?), MDu. glupen w.v. 'to squint. lurk'. Du. gluipert c. 'creep' (DRV). A back-formation from the iterative \*glupp/bon-. For the meaning of Sw. dial. gljopa 'to swallow', cf. Da. dial. glubbe i sig 'to devour؋. E obs. globbe, glop 'id.' (to gobble may have been dissimilated from the frequentative \*globble). Also cf. Ice!. gl[j)upr adj. 'soft, porous', Nw. dial. gl[j)up, glyp adj. 'eager' ( < 'open'?) < \*gleupa-",,221,,,"\*glilpa- and the causative ON gleypa, Nw. gl!dypa w.v. 'to devour' < \*glaupjan-.",pdf-text-headword-found,missing-or-unparsed-gloss
glidan-,,s.v.,to glide,221,NEUR?,\*ghfeidh-e- (NEUR?),"OE glidan s.v. 'id.', E to glide, OFri. glida s.v. 'id.', OS glidan s.v. 'id.', Du. glijden s.v. 'id.', MHG gliten s.v. 'id.', G gleiten s.v. 'id.'",pdf-text-headword-found,
gliman-,,s.v.,to shine,221,DRV?,,"Nw. glim a s.v. 'id.', MHG glimen s.v. 'id.' (DRV?). A strong verb related to e.g. OHG glimo, gleimo m. 'firefly' < \*gliman-, \*glaiman- and OE glrem m. 'gleam' < \*glaimi-; possibly, the strong verb was back-formed to these stems in m. See also \*gliwa-.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
glintan·,,s.v.,"to shine, look",221,EUR,\*ghfe-n-d-e (EUR),"MHG glinzen s.v. 'to shine, gleam'",pdf-text-headword-found,
glitan·,,s.v.,"to shine, sparkle",221,GM,\*gh/eid-e- (GM),"OS glitan s.v. 'id.', OHG glizan s.v. 'id.', G gleiflen s.v. 'id.'",pdf-text-headword-found,
glit(t)on-,,w.v.,"to shine, sparkle",221,GM,\*gh/id-neh₂- (GM),"Ice!. glita w.v. 'to gleam, flash', MDu. glitten w.v. 'to shine, sparkle', G glitzen w.v. 'to shine'",pdf-text-headword-found,
glitton-,,w.v.,to glide,221,NEUR?,\*ghfidh-neh₂- (NEUR?).,G glitzen w.v. 'id.',pdf-text-headword-found,
gliwa-,,n.,joy,222,WEUR,\*ghlei-uo- (WEUR),"ON glj n. 'id.', OE gliw, gleow n. 'jesting; fun; game', E glee",pdf-text-headword-found,
ghfi-u-ehi-,,and,,222,,,with a different suffix - \*gliman-.,pdf-text-headword-found,missing-or-unparsed-gloss; no-proto-arrow-or-distribution-detected
gloan-,,s.v.,to glow,222,EUR,\*ghl6h₁-e- (EUR) .,"OE glowan s.v. 'id.', E to glow, OS gloian w.v. 'id.', Du. gloeien w.v. 'id.', OHG gluoan w.v. 'id.', G glilhen w.v. 'id.'",pdf-text-headword-found,
glodi-,,f.,glow,222,DRV,\*ghloh₁-ti- (DRV),"ON g/60 f. 'red-hot embers', Far. gl6o f. 'glow; ember', Elfd. glyoo f. 'glow', OE gled f. 'burning coal, embers', E gleed, OFri. glad, gled f. 'glow', MDu. gloet m./f. 'id.', Du. gloed c. 'id.', OHG gluot f. 'red-heat', G Glut f. 'glow'",pdf-text-headword-found,
gliinen-,,w.v.,to peer,222,EUR,\*gh/uH-n-ehi(EUR),"Sw. dial. gluna w.v. 'to stare, peer'",pdf-text-headword-found,
glunten-,,w.v.,to peer,222,EUR,\*gh/nd-eh₁- (EUR),"ON glotta w.v. 'to sneer, grin, smirk', Far. glotta w.v. 'to clear up, (of the sun) to peep through the clouds', Nw. glutta w.v. 'to peer, peep'",pdf-text-headword-found,
glupp/bon-,,w.v.,to gape,222,NEUR,\*ghl(m)bh-neh₂- (NEUR),"Icel. glopa w.v. 'to drop', Far. gloppa w.v. 'to stand a little open; put ajar', Nw. g/opa w.v. 'to be open; to gulp', Elfd. glupa w.v. 'to gobble, devour'",pdf-text-headword-found,suspicious-headword-characters
glut(t)on-,,w.v.,to peer,223,EUR,\*gh/nd-neh₂- (EUR),"E to gloat, MHG glotzen, glutzen w.v. 'to watch with widespread eyes, stare'",pdf-text-headword-found,
gnagan-,,s.v.,to gnaw,223,IE?,\*ghn69h-e- (IE?),"ON gnaga s.v. 'id.', OE gnagan s.v. 'id.', E to gnaw, OS knagan s.v. 'id.', Du. knagen w.v. 'id.', OHG (g)nagan s.v. 'id.', MHG gnagen s.v. 'to gnaw', G nagen w.v. 'id.'",pdf-text-headword-found,
gnaista(n)-,,m.,spark,223,also gneista f.,,"ON gneisti m. 'spark', OE gnii.st m. 'spark', OHG gneisto m. (also gneista f.) 'spark' (GM). A sound symbolic formation to the verb continued by e.g. ME gnii.sten 'to gnash the teeth' < \*gnaist6n-, cf. G knistern, gnistern 'to crackle'. Hardly to OPru. knaistis 'fire'.",pdf-text-headword-found,
gnidan-,,s.v.,to rub,223,EUR?,,"OE gnidan s.v. 'id.', MLG gniden s.v. 'id.', OHG gnitan s.v. 'id.', MHG gniten s.v. 'id.' (EUR?). The word has been compared to Gr. Hsch. XVLEL 'grinds', OCS gniti, Ru. gnit' fgniju), SCr. gnj)'ti 'to rot' < \*ghni-ie-, but this requires the assumption of a \*dh(h₁)-extension for Germanic. Also cf. ON gnista w.v. 'to gnash the teeth; to snarl (of dogs)' < \*gnistjan-, a denominal verb from \*gnista- < \*ghneidh-sth₂-o-(?), cf. MHG gnist m. 'gravel'.",pdf-text-headword-found,
gnuznojan-,,w.v.,to be sad,224,NEUR,,"OE gnornan, gnornian w.v. 'to grieve, mourn, be sad, bewail, lament', OS gornon, gnornon, grornon w.v. 'to lament, complain, be worried' (NEUR) - Ru. grust' f. 'sorrow' < \*ghrous-ti- (whence OCS S'b-grustiti Sfl 'to be troubled'); SCr. grst f. 'aversion' < \*ghrus-ti-. An apparently denominal verb probably to OE grorn, gnorn m. 'grief or perhaps to the adj. gnorn 'sad' < \*gruzna- < \*ghrus-n6-. After the rhotacism of \*z, the initial cluster became prone to dissimilation of the \*r, thus resulting in both OS gnornon and gornon. Despite the somewhat different meanings, the verb can probably be reconciled with OE greosan s.v. 'to frighten' <. \*greusan- < \*ghreus-e- and OE gryre, OS gruri m…",pdf-text-headword-found,
goda-,,adj.,"suitable, good",224,DRV,,"Go. gops adj. 'id.', ON g6or adj. 'good; friendly', Far. goour adj. 'id.', Elfd. guoo adj. 'id.', OE god adj. 'id.', E good, OFri. god adj. 'id.', OS god adj. 'id.', Du. goed adj. 'id.', OHG guot adj. 'id.', G gut adj. 'id.' (DRV). An o-grade adjective derived from the lost strong verb \*gadan- 'to fit', for which cf. \*gadojan-.",pdf-text-headword-found,
gain-,,f.,late winter,224,IE,\*ghi-om- (IE),"ON g6i, gre f. 'id.', Ice!. g6a f. 'id.', Far. g'1 n. 'id.', Nw. gj'1, go f. 'id.'",pdf-text-headword-found,
g6ja/6-,185,•goja/o- n./f.,peritendinitis crepitans,225,EUR,\*ghoH-io- (EUR),"Far. g¢ n. 'synovitis (esp. of the wrist)', Nw. gj¢ f. 'pain in the wrist due to strain'",pdf-text-headword-found,suspicious-headword-characters
graba-,,n.,grave,225,DRV,\*ghrobh-o- (DRV),"OE gr<Ef, graf n. 'grave, trench', OFri. gref n. 'grave, ditch(?)', OS graf n. 'grave', Du. graf n. 'id.', OHG grab n. 'id.', G Grab n. 'id.'",pdf-text-headword-found,
graban-,,s.v.,to dig,225,IE,\*ghr6bh-e- (IE),"Go. graban s.v. 'id.', ON grafa s.v. 'id.', Far. grava s./w.v. 'id.', Elfd. grava s.v. 'id.', OE grafan s.v. 'id.', OFri. greva s.v. 'id.', OS graban s.v. 'id.', Du. graven s.v. 'id.', OHG graban s.v. 'dig, carve', G graben s.v. 'to dig'",pdf-text-headword-found,
graipon-,,w.v.,to grope,226,NEUR,\*ghroibh·neh₂- (NEUR),"ON greipa w.v. 'to grasp', OE griipian w.v. 'to grope, touch with the hands', E to grope, OHG greifon w.v. 'to stroke'",pdf-text-headword-found,
gramjan-,,w.v.,"to provoke, anger",226,IE,\*ghrom-eie- (IE),"Go. gramjan w.v. 'id.', ON gremja w.v. 'id.', OE gremian w.v. 'id.', MLG gremmen w.v. 'id.', OHG grem(m}en w.v. 'id.', G griimen w.v. 'id.'",pdf-text-headword-found,
granna-,,adj.,sharp,226,NEUR/WEUR,\*ghroH-n-u6- (NEUR/WEUR),"ON grannr adj. 'thin, slender', Ice!. grannur adj. 'thin, slim; accurate', Far. grannur adj. 'thin, fine', Elfd. grann adj. 'thin, delicate, pretty'",pdf-text-headword-found,
