entry_headword_and_label	entry_text
*aikīnaz adj.	Burg *aikins, ON eikinn ‘oaken’, OE æcen, ácen id., OFris ēzen, ētzen id., MLG ēken id., OHG eihhīn id. Derived from *aikz. Holthausen AEEW 8; Vries ANEW 96; Köbler 708.
*aikwernōn ~ *īkwernōn sb.m.	ON íkorni ‘squirrel’, OE ácwern id. (neut.), MLG ēkeren, ēkhorn id., OHG eihhurno id. A taboo transformation of the name attested in Lat uīuerra ‘weasel’, Bret gwiber ‘squirrel’, Lith vëverīs, vaiverīs id., Slav *vîverica id., probably influenced by *aikz and formations in *-ern-, cf. *þezwernō(n). Torp-Falk 27 (to Skt éjati ‘to stir, to move’); Much ZDADL XLII 166 (the first part to ON eikinn ‘savage’); Schrader BB XV 134 (the first component to Skt ejati ‘to stir, to move’); Holthausen AEEW 2; Specht KZ LXII 253–254 (Lat uīuerra < *uī-uer-sa); Walde-Hofmann II 808; Pokorny I 14 (compound of *aik- connected with Skt éjati ‘to move’ and *wernrelated to Lith vaiverīs ‘squirrel’, Slav *vîverica id.); Fraenkel 1233; Vries ANEW 284; Kluge-Seebold 207 (reconstructs *aikurnan).
*aikz sb.f.	Burg *aiks ‘oak’, ON eik id., OE ác id., OFris ēk id., OS ēk id. (i-stem), OHG eih id. (i-stem). Compared with Gk αἰγίλωψ ‘kind of oak’, with the second component identified with λώψ: χλαμύς, Hes., λοπός ‘shell, bark’, Lat aesculus ‘kind of oak’ (Kretschmer Glotta III 335). Schrader KZ X 461–462 (to Gk αἰγανέη ‘hunting spear’); Kuhn KZ LXXI 151 (to *akranan); Torp-Falk 1; Holthausen AEEW 2; Pokorny I 13; Vries ANEW 96; Frisk I 31; Zalizniak II 205; Pisani St. balt. X 52 (to OPrus ansonis ‘oak’); Onions 619; Bammesberger Nom. 195; Griepentrog Wurzelnomina 21–32; Köbler 708; Kluge-Seebold 207.
*ailan sb.n.	OE ál ‘flame’. Despite phonetic difficulties, probably from *aiđlan connected with *aiđaz (Sievers IF IV 339). Derivationally close to MIr áel ‘lime’ < *aidh-lo-. Fick KZ I (NF) 3–4 (to Lat ad-oleō ‘to burn’); Johansson Zd Ph XXXI 285–288 (influenced by IE *alēto: Skt neut. alāta- ‘fire-brand, coal’); Wood JEGP XIII 500 (to OE ile ‘hard skin’); Holthausen AEEW 3; Pokorny I 12; Vries ANEW 99–100.
*ailiđaz sb.m.	ON eldr ‘fire’, OE æled ‘fire, conflagration’, OS ēld ‘fire’. Derived from *ailjanan. Torp-Falk 3–4 (to W ailwyd ‘hearth’ < *ailētā); Holthausen AEEW 10; Pokorny I 12; Vries ANEW 99–100; Onions 38.
*ailjanan wk.vb.	OE ælan ‘to kindle, to set on fire, to burn’. Derived from *ailan. Torp-Falk 3; Holthausen AEEW 10; Pokorny I 12.
*aimaz sb.m.	ON eimr ‘reek, vapor’, OE ám ‘reed, slay of a weaver’s loom’, E dial. oam ‘warm wind’. Continues *ai-mo- or, better, *aidh-smo-, eventually related to *aidh- ‘to burn’, cf. in particular Av aēsma- ‘firewood’, Lith íesmë id. Bartholomae 26–27; Holthausen AEEW 3; Pokorny I 11–12; Vries ANEW 96; Onions 308.
*aimuzjōn sb.f.	ON eimyrja ‘embers’, OE æmyrie, æmerze id., MLG ēmere id., OHG eimuria ‘pyre, hot ash’. Derived from *aimaz (Kluge KZ XXVI 84). Torp- Falk 32; Holthausen AEEW 11; Vries ANEW 96; Onions 308; Kluge-Seebold 34 (compound of *aimaz and *usjōn > ON poet. ysja ‘fire’).
*aina-auzjaz adj.	ON ein-eygr ‘one-eyed’, OE án-eáze id., MLG ein-ōge id., OHG ein-ougi id. Compound of *ainaz and *auzjaz. Carr Nom. comp. 64.
*aina-buranaz ~ *aina-burenaz adj.	ON ein-borinn ‘only begotten’, OE án-boren id., OHG ein-boran ‘unique, sole’. Compound of *ainaz and participle of *beranan. Carr Nom. comp. 92 (calque of Lat unigenitus).
*aina-đazōn sb.m.	ON ein-dagi ‘term for pay’, OE án-daza ‘fixed day, time appointed, day appointed for hearing a cause’, OS ēn-dago ‘day of death’. Compound of *ainaz and *đazaz. Krogmann Eng S LXX 40–43 (compares *ain- with Skt inóti ‘to advance upon, to press upon’; cf. *ferinō); Torp-Falk 199; Holthausen AEEW 4; Carr Nom. comp. 58; Pokorny I 241–242; Lehmann GED 86.
*aina-falđaz adj.	Goth ain-falþs ‘in one piece, simple’, ON ein-faldr id., OE ánfeald ‘simple, single, one, alone’, OFris enfald ‘singular, single’, OS ēn-fald id., OHG ein-falt ‘pure, single’. Compound of *ainaz and *falđaz. Feist 23; Carr Nom. comp. 64–65; Lehmann GED 16; Heidermanns 187–188; Kluge-Seebold 211; Boutkan OFED s.v.
*aina-fōtjaz adj.	ON ein-fœttr ‘onelegged’, OE án-féte id. Compound of *ainaz and *fōtjaz (see *fōtz ~ *fōtuz). Carr Nom. comp. 65.
*ainazaz ~ *ainezaz pron., adj.	Goth ainaha ‘only, sole’ (< *ainaxaz), ON einigr, eingi ‘none, any’, OE æniz ‘any, anyone’, OFris ēnich ‘only’, OS ēnig id., OHG sbst. einago ‘hermit, monk’. Derived from *ainaz. Cf. a similar derivation in Lat ūnicus id. (Solmsen PBB XXVII 356). Torp-Falk 3, 557 (to Slav *inokъ ‘monk’ but *-okъ < *ok⁄o-); Holthausen AEEW 11; Walde-Hofmann II 821; Feist 22; Pokorny I 286; Vries ANEW 97; Onions 41; Lehmann GED 16; Ross-Berns Numerals 656–657; Kluge-Seebold 211– 212; Boutkan OFED s.v.
*aina-xanđjaz adj.	ON ein-hendr ‘singlehanded’, OE án-hende id., OHG ein-henti id. Compound of *ainaz and *xanđjaz (see *xanđuz). Carr Nom. comp. 65.
*aina-xarđuz adj.	ON ein-harär ‘courageous, constant’, OS ēn-hard ‘hostile, evil’, OHG ein-harti ‘courageous, constant’. Compound of *ainaz and *xarđuz. Carr Nom. comp. 63.
*aina-xlaupiz adj.	ON ein-hleypr ‘single, unmarried’, OE án-hlíepe id., late OS ēnlōpe ‘alone, single’. Derived from *ainaz and *xlaupan. Holthausen AEEW 163; Carr Nom. comp. 62; Seebold 260; Matzel Festschr. Schröder 259–261, KZ CV 129; Heidermanns 293.
*ain(a)kai adv.	ON einka- ‘only, special’ (in compounds), Du ēnec ‘alone’. Derived from *ainaz. Cf. a similar pattern in Slav *jьnogъ ‘single’ and Cypr ǫggia. Vries ANEW 99; Trubachev ESSJa VIII 231; Lehmann GED 16.
*ainak(i)laz adj.	Goth ainakls ‘alone, standing alone’, ON name of a sea-king Ekkill, OSwed sbst. ænkill ‘widower’, MLG enkel ‘single’. Derived from *ain(a)kai. Grienberger Got. 14 (from *ain-ak-l-az, cf. *akanan); Feist 22–23; Vries ANEW 99; Lehmann GED 16; Ross-Berns Numerals 658.
*aina-lifa ~ *aina-liba num.	Goth ainlif ‘eleven’, ON ellifu id., OE endleofan id., OFris andlova, elleva id., OS elleban id., OHG einlif id. Most of WGmc forms have a secondary -(a)n. Compound of *ainaz and *lif- ‘left’ (see *laibjanan). A similar structure is found in Lith vienuólika id. in which -lika is identical with Gmc *lif- (Grimm Germania I 19, DG II 946–947). Meillet MSL XV 259; Zupitza Gutt. 12; Torp-Falk 3; Bezzenberger KZ XLIV 133–135; Holthausen AEEW 91; Feist 23; Porzig Gliederung 146; Pokorny I 670; Chemodanov SGGJa I 74–75; Fraenkel 1239–1240; Vries ANEW 101; Onions 306; Lehmann GED 17; Ross-Berns Numerals 593–596 (*aini- in Goth); Kluge-Seebold 217; Boutkan OFED s.v.
*aina-liftōn num.	ON ellepti ‘eleventh’, OE ællyfta, endlefta id., OFris andlofta id., OS ellifto id., OHG einlifto id. Derived from *aina-lifa ~ *aina-liba. Ross-Berns Numerals 633–634; Boutkan OFED s.v.
*aina-līkaz adj.	OSwed ēnlīker ‘alone’, OE ænlíc ‘singular, incomparable, excellent’. Derived from *ainaz. Ross-Berns Numerals 663.
*aina-naxtjaz adj.	ON ein-nættr ‘one night old’, OE adv. án-nihte id., MHG einnehte id. Compound of *ainaz and *naxtjaz (see *naxtz). Carr Nom. comp. 65.
*aina-rēđaz adj.	ON ein-ráär ‘self-willed’, OE án-ræd ‘one-minded, unanimous, agreed’, OHG ein-rāti ‘secret’. Compound of *ainaz and *rēđaz. Carr Nom. comp. 94–95 (parallel formations).
*aina-stapōn sb.m.	ON ein-stapi ‘a kind of fern, Pteris aquilina’, OE án-stapa ‘lone wanderer’. Compound of *ainaz and *stapan. Carr Nom. comp. 87 (parallel formations).
*aina-walđōn sb.m.	ON ein-valdi ‘monarch’, OE án-wealda ‘sovereign, governor’. Compound of *ainaz and *walđōn. Carr Nom. comp. 87 (calque of Lat monarchus in OE).
*aina-wīzjan sb.n.	ON ein-vígi ‘single combat’, OE án-wíz id., OHG ein-wīgi id. Compound of *ainaz and *wīzjan (see *wīzan). Carr Nom. comp. 58.
*ainaz num.	Goth ains ‘one’, ON einn id., OE án id., OFris ān, ēn, on id., OS ēn id., OHG ein id. Identical with Lat ūnus id., OIr óen id., OPrus ains id. further related to Skt éka- id., Av aēvō id., Gk οἶος id. Bartholomae 22–24; Pedersen Kelt. Gr. I 57, 447; Torp-Falk 3; Holthausen AEEW 4; Walde-Hofmann II 821; Feist 24; Mayrhofer I 126; Pokorny I 281–286; Vries ANEW 97; Frisk II 367; Onions 627; Toporov PJa I 63–64; Lehmann GED 17; Bammesberger Nom. 227; Ross-Berns Numerals 559–561; Kluge-Seebold 210; Boutkan OFED s.v.
*airaz ~ *airuz sb.m.	Goth airus ‘emissary, messenger’, ON árr, ǫrr ‘messenger’, OE ár ‘messenger, herald’, OS ēr ‘messenger’ (< *airiz). Probably, a derivative of *airi. Grienberger Goten 15; Torp- Falk 3; Wiedemann BB XXVIII 46; Wood MLN XIII 82 (from *ei- ‘to go’); Bugge PBB XXIV 430–433 (to *airō); Meringer IF XVIII 249–251 (to *arjanan); Holthausen PBB LXVI 267 (to ON írask ‘to be rumored abroad’), AEEW 6; Feist 26–27; Vries ANEW 14; Zalizniak II 198; Lehmann GED 19; Bammesberger Nom. 66.
*airi adv.	Goth air ‘early’, ON ár id., OE ær ‘previously, before’, OS ēr id., OHG ēr id. Continues loc. *aƒ(e)ri. Related to Av ayar 6 ‘day’, Gk ἠέριος ‘early’. Cf. comparative *airiz > Goth airis ‘before, earlier’, ON ær id., OE ær ‘early, former’, OFris ēr ‘before, earlier’, OS ēr id., OHG ēr id. and superlative *airistaz > OE ærest ‘first’, OS ērist id., OHG adv. ērist id. Fick KZ XXII 95–96; Bartholomae 157; Torp-Falk 3; Holthausen AEEW 12; Feist 24–25; Schulze Kl. Schr. 825, 833; Pokorny I 12; Vries ANEW 12, 681; Frisk I 624; Onions 323–324; Lehmann GED 18; Kluge-Seebold 205–206; Boutkan OFED s.v.
*airi-đazaz sb.m.	ON pl. ár-dagar ‘days of yore’, OE pl. ær-dazas id., OS pl. ēr-dagos id. Cf. also OHG adj. ēr-tagīg ‘of yesterday, before the dawn’. Compound of *airi and *đazaz. Carr Nom. comp. 58.
*airinōjanan wk.vb.	Goth airinon ‘to be an emissary, to be a messenger’, ON árna ‘to intercede, to pray’. Derived from *airaz ~ *airuz. Feist 25; Vries ANEW 14.
*airi-wakraz adj.	ON ár-vakr ‘early awake’, OHG ēr-wackar id. Compound of *airi and *wakraz. Carr Nom. comp. 63.
*airō sb.f.	ON ár ‘oar’, OE ár id. Of unknown origin. Bugge PBB XXIV 429 (to *rōanan); Torp-Falk 3; Holthausen AEEW 7; Pokorny I 298 (to Gk oǫaj ‘handle of rudder’); Vries ANEW 12; Onions 619; Lehmann GED 19.
*aiskōjanan wk.vb.	OE ascian ‘to inquire, to ask’, OFris āskia ‘to demand, to claim’, OS ēscon ‘to promote, to further’, OHG eiscōn ‘to search, to look for’. Related to Skt éṣati ‘to seek’, iccháti, ‘to seek, to wish’ < *is-s˚e-, Av aēš- id., Arm hayc'em ‘to beg’, Lith íeškau, ieškóti ‘to seek’, Slav *iskati id. (Fick BB XVI 170–171). Bugge KZ III 40–41; Bartholomae 28–31; Torp-Falk 4; Trautmann BSW 67; Holthausen AEEW 7; Mayrhofer I 85; Pokorny I 16; Fraenkel 182; Onions 54; Trubachev ESSJa VIII 238–239; Kluge-Seebold 366; Boutkan OFED s.v.
*aiskrōjanan wk.vb.	ON eiskra ‘to roar, to rage’. A denominative based on the unattested *aiskran. Related to Lith áiškus ‘clear’ and derivationally close to Slav *jьskra ‘sparkle’ (< neut.). Persson Beiträge 950; Johansson IF XIX 112–114 (to Lat aestus ‘heat’); Fraenkel 3; Pokorny I 16–17; Trubachev ESSJa VIII 239–240.
*aitaz sb.m.	OHG eiz ‘abscess’. Related to Arm aitnum ‘to swell’, Gk οφιδάω id. (Fick KZ I 5–6). Structurally close to Gk neut. οἶδος ‘swelling, tumor’. Torp- Falk 2; Pokorny I 774; Frisk II 357– 358; Kluge-Seebold 214.
*aitilaz adj.	ON sbst. eitill ‘nodule in stone’, EFris eitel ‘fast, raging’, OHG sbst. eizzala ‘gallnut’. Derived from *aitaz. Bezzenberger BB XXVII 172; Vries ANEW 98; Kluge-Seebold 214.
*aitōn sb.f.	OE æte ‘oats’, OS eriwit ‘pea’ (< *arwa-aitō), OHG araweiz id. (< *arwaaitō). May be related to *aitaz (Wood JEGP XIII 500). For the semantic development cf. Gk oǫdaj ‘unripe fig’. Wiedemann BB XXVIII 46, 50 (reconstructs *araw-aitwith suff. *-ait-); Holthausen AEEW 7; Pokorny I 774; Onions 619; Kluge-Seebold 228.
*aitran sb.n.	ON eitr ‘poison’, OE ætor id., OFris āter ‘pus’, ātter id., OS ēttor id., OHG eitar id. Derived from *aitaz. If originally from *‘swelling’, can be directly compared with Slav *îdro ‘womb, lap’. Torp-Falk 2; Holthausen AEEW 8; Pokorny I 774; Vries ANEW 98; Zalizniak I 138; Kluge-Seebold 214 (to Slav *îdъ ‘poison’). *aiþa-stabaz m: ON eiä-stafr ‘wording of an oath’, OE áä-stæf ‘oath’, OS ēd-staf id., MHG eit-stap id. Compound of *aiþaz and *stabaz. Carr Nom. comp. 46.
*aiþaz sb.m.	Goth aiþs ‘oath’, ON eiär id. (gen. sg. reflects *aiþiz), OE áä id., OFris ēth, ēd id., OS ēth id., OHG eid id. Identical with OIr óeth id. and, probably, with Gk οἶτος ‘fate’, OPhryg oito- id. (Meringer IF XVIII 295; Grienberger Goten 16). These forms could be (but not necessarily are) derived from *ei- ‘to walk’ (Brugmann IF XXXVII 241) or related to Hitt ḫai- ‘to believe, to trust’ (Puhvel III 9–10). Arbois de Jubainville MSL VII 292 (from Celtic, cf. OIr oeth ‘oath’); Osthoff BB XXIV 208–209 (to Gk αἶνος ‘consent’); Torp-Falk 2; Bartholomae IF XII 30 (compares οἶτος with Av aēta- ‘punishment’); Meringer IF XVIII 295 (to *ei- ‘to go’); Pedersen Kelt. Gr. I 58 (to Lat ūtor ‘to need’); Holthausen AEEW 8; Feist 29; Tucker Notes 36 (to Gk ǫthlow ‘abiding’); Lane Language IX 246 (from Celtic); Krahe Spr. Vorz. 134; Porzig Gliederung 121; Pokorny I 11, 295; Chemodanov SGGJa I 96; Vries ANEW 95; Zalizniak II 185; Onions 619; Frisk II 370–371; Benveniste 393, 433; Chantraine 788; Scardigli Goten 53–54 (against the Celtic etymology); Polomé JIES XI 281–298; Lehmann GED 20; Beekes Laryngeals 128; Bammesberger Nom. 78; Orel Phrygian 449; Kluge-Seebold 207–208; Boutkan OFED s.v.
*aiþīn sb.f.	Goth aiþei ‘mother’, OHG fuotar-eidī ‘nanny’. Cf. also *aiþōn ‘mother’ > ON eiäa. Derived from *aiþaz (Mezger KZ LXXVI 85–86: a legally acknowledged mother as opposed to a concubine-mother). Uhlenbeck Btrg. Gesch. XXVII 115 (to Basque aita ‘father’); Grienberger Goten 16 (to Gk fut. ὀίσω ‘to carry’); Torp-Falk 2; Feist 28, PBB LIII 397–400 (from non-existent Illyr OHYH ‘mater Dea’); Krahe PBB LVII 426–428 (against Feist); Vries ANEW 95; Zalizniak I 157; Lehmann GED 20.
*aiwaz ~ *aiwiz sb.m.	Goth aiws ‘age, eternity’, OE æw, á ‘law’, OFris a- ‘law’ (in cmpn.), OS ēo id., OHG fem. ēwa id. Cf. also ON ævi ‘time, eternity’ < *aiwīn. Acc. sg. *aiwin is used as an adverb ‘ever’: Goth aiw, ON æ, OE á, OS ēo, OHG io. Related to Skt āyu- ‘vital power’, Av āyū ‘lifespan’, Gk αἰών ‘vital power’, Lat aeuus, aeuum ‘age’. Vogt Btrg. Gesch. LVIII 1–66; Zupitza Gutt. 74 (to *ei- ‘to go’); Bartholomae 333; Torp-Falk 4; Holthausen AEEW 8; Walde-Hofmann I 21; Benveniste BSL XXXVIII 103–112; Feist 30–31; Tucker Notes 36 (to Lat iūs ‘right, law’); Mayrhofer I 77; Pokorny I 17; Frisk I 49; Zalizniak II 214; Onions 66; Lehmann GED 22; Beck Gedenkschr. Güntert 47–48, 53–54; Kluge- Seebold 238, 410; Boutkan OFED s.v.
*aiwiþō sb.f.	ON lang-æä ‘long lasting’, OHG ēwida ‘eternity’. Derived from *aiwaz ~ *aiwiz. Vries ANEW 680.
*aizan sb.n.	Goth aiz ‘copper’, ON eir ‘brass’, OE ár ‘ore, brass, copper’, OS ēr ‘ore’, OHG ēr ‘ore, copper’. Related to Skt áyas- ‘metal, iron’, Av ayah- id., Lat aes ‘ore’ continuing IE *aƒos-. Bartholomae 159; Torp-Falk 4; Holthausen AEEW 7; Walde-Hofmann I 19–20; Walde-Hofmann I 19–20; Feist 31; Mayrhofer I 46; Pokorny I 15; Chemodanov SGGJa I 90; Vries ANEW 97; Zalizniak I 138; Lindeman Verschärfung 11.4; Gamkrelidze-Ivanov 709–710; Lehmann GED 22; Bammesberger Nom. 212; Kluge-Seebold 206.
*aizō sb.f.	ON eir ‘peace, clemency’ (< *aizjō), OE ár ‘honor, glory, kindness’, OFris ēre ‘honor’, OS ēr, ēra ‘honor, help’, OHG ēra ‘honor’. Related to Osk abl. pl. aisusis ‘sacrifice’, Marruc dat. pl. aisos ‘gods’, Umbr esono- ‘divine, sacred’ and probably to Gk aǫdomai ‘to respect’ < *aiz-d- (Bezzenberger BB IV 313). Perhaps, further connected with *aiskōjan. Torp-Falk 4; Holthausen AEEW 7; Feist 27–28; Pokorny I 16; Vries ANEW 97; Frisk I 34–35; Zalizniak II 191; Peeters IF XCIV 295; Kluge-Seebold 206; Boutkan OFED s.v.
*ajjaz sb.n.	Crim. Goth nom. pl. ada ‘egg’, ON egg id., OE æz id., OS ei id., OHG ei id. Related (without traces of *⁄ and with Verschärfung) to OPers xāya id., Gk ᾠόν id., Arm ju id., W wy id., Slav *ajьce, *aje id. Molz Btrg. Gesch. XXXI 324–325; Torp-Falk 1; Holthausen AEEW 9–10; Feist 2; Pokorny I 783–784; Vries ANEW 94–95; Frisk II 1150; Zalizniak II 223; Schindler Sprache XV 144–167; Lindeman SL XIV/2 10–11, Verschärfung 10.2; Onions 303; Trubachev ESSJa I 61–62; Lehmann Phon. 36–46, GED 2; Kluge- Seebold 206.
*ajukaz adj.	Goth ajuk-duþs ‘eternity’, OE éce ‘eternal, perpetual’. Derived from *aiwaz ~ *aiwiz. Probably derivationally similar to Lat iūgis ‘permanent, perpetual’ (Seebold Etym. 93–94). Torp-Falk 4; Bréal MSL IV 140–141 (Goth suffix < Lat); Feist 32; Holthausen AEEW 8; Walde-Hofmann I 727; Pokorny I 17; Bammesberger AE 12, Nom. 262; Lehmann GED 23; Heidermanns 97.
*akanan str.vb.	ON aka ‘to drive (in a vehicle)’, OE acan ‘to ache, to pain’. Despite the semantic discrepancy, these forms are historically identical (Seebold 74–75). Cf. the meanings of Lat agitō ‘to put in motion, to drive, to rouse up, to disturb’. Related to Toch B āk- ‘to lead, to guide, to drive’, Skt ájati ‘to drive’, Av azaiti id., Arm acem ‘to lead, to bring’, Gk ἄγω ‘to lead’, Lat agō ‘to drive’, OW agit ‘to go’. Zupitza Gutt. 195; Wood AJPhil XXVII 59 (OE to Skt āgas- ‘transgression, fault’ Gk ἄγος ‘pollution, guilt, expiation’); Loewe KZ XLVIII 99–100 M (same as Wood); Bartholomae 223–224; Torp-Falk 7; Holthausen AEEW 2; Walde-Hofmann I 23–24; Porzig Gliederung 120; Mayrhofer I 23; Pokorny I 4; Vries ANEW 3; Frisk I 18; Onions 8–9; Adams TB 36.
*akaz sb.m.	Run prop. aka R, Identical with Gk ἄγός ‘leader, chief’. Further related to *akanan. Frisk I 18; Bammesberger Nom. 51.
*ake conj.	Goth ak ‘but, however’, OE ac id., OS ak id., OHG oh id. Related to Gk ἄγε ‘now, then’, Lat age id. (Holthausen IF XVII 458–459). Brugmann KVG 616 (from *aþa/*aþi and particle *k(e) as in Goth mik); Holthausen AEEW 1; Feist 32; Sturtevant GR XXVI 57 (to IE *a˚- ‘sharp’ followed by a particle); Lehmann GED 23.
*akra-karlaz sb.m.	ON akr-karl ‘plowman, reaper’, OE æcer-ceorl id. Compound of *akraz and *karlaz. Carr Nom. comp. 80 (parallel formations).
*akra-mannz sb.m.	ON akr-maär ‘plowman, farmer’, OE æcer-man id., MLG acker-man id., OHG ackar-man id. Compound of *akraz and *mannz. Carr Nom. comp. 71 (parallel formations).
*akranan sb.n.	Goth akran ‘fruit’, ON akarn ‘acorn’, OE æcern id., MLG eckeren id. Derived from *akraz (Torp-Falk 16). Zimmerapud Zupitza Gutt. 213 (derivationally close to Celt *agrīnƒā ‘sloe’: Ir áirne, W aeron ‘fruit’ MBret irin, and other continuants of IE *ōg-); Lidén IF XVIII 503–506 (to Lith úoga ‘berry’ Slav *agoda id.); Uhlenbeck TNTL XXV 249; Pedersen Kelt. Gr. I 103, 143; Holthausen AEEW 9; Feist 32–33; Pokorny I 773, KZ L 46–48; Vries ANEW 4; Zalizniak I 139; Lehmann GED 24; Bammesberger Nom. 83; Kluge-Seebold 204.
*akra-werkan sb.n.	ON akr-verk ‘fieldwork’, OE æcer-weorc id. MLG acker-werk id. Compound of *akraz and *werkan. Carr Nom. comp. 71 (parallel formations).
*akraz sb.m.	Goth akrs ‘field’, ON akr id., OE æcer id., OFris ekker id., OS akkar id., OHG ackar id. Related to Skt ájra- ‘plain, field’, Gk ἀγρός ‘field’, Arm art id., Lat ager id. continuing IE *a·ros, a derivative of *a·- ‘to drive’ (see *akanan). Torp- Falk 7; Brugmann IF XVIII 132; Pedersen KZ XXXIX 352; Krause KZ LV 312–313; Holthausen AEEW 8; Walde- Hofmann I 22; Feist 33; Trier PBB LXVII 126; Mayrhofer I 23; Pokorny I 6; Vries ANEW 4; Frisk I 16; Zalizniak I 129; Seebold 74; Lehmann GED 24; Bammesberger Nom. 74; Lloyd- Springer I 40–42; Kluge-Seebold 13; Boutkan OFED s.v.
*akusiz sb.f.	OS akus ‘axe’, OHG ackus id. In dat. sg. WGmc keeps traces of a root stem. Probably related to Gk ἀξίνη id., Lat ascia ‘axe of carpenters and masons’ < *acsiā (Janzén Bu Z 20: reconstructs IE *ag- parallel to *a˚-). Zupitza Gutt. 89; Kretschmer Einleitung 164; Walde- Hofmann I 71–72; Pokorny I 9; Frisk I 115–116; Zalizniak II 205; Onions 66; Lloyd-Springer I 44; Kluge-Seebold 70 (*akwesjō).
*akwesjō ~ *akwezjō sb.f.	Goth aqizi ‘axe’, ON øx id. (*akusjō), OE æcs, æx id., OFris axa id. Derived from *akusiz. Zupitza Gutt. 89; Torp-Falk 7; Holthausen AEEW 9; Feist 54; Porzig Gliederung 133; Pokorny I 9; Vries ANEW 683; Zalizniak II 205; Lehmann GED 40; Kluge-Seebold 70.
*ala-xwītaz adj.	ON al-hvítr ‘quite white’, OE eal(l)-hwít id., OS ala-hwīt id. Compound of *alaz and *xwītaz. Carr Nom. comp. 62.
*ala-maxtizaz adj.	ON al-máttigr ‘almighty’, OE eall-mihtiz id., OFris elmechtich id., OS ala-mahtīg id., OHG ala-mahtīg id. Compound of *alaz and *maxtizaz. Carr Nom. comp. 91–92 (calque of Lat omnipotens).
*ala-mannz sb.m.	Goth ala-mans ‘(all) mankind’, ON al-manna- ‘general, common’ (in compounds), MLG al-man ‘mankind’, OHG ethn. Ala-man. Cf. Ἀλα-μανοί, Ala-manni = OHG Ala-man. Compound of *alaz and *mannz. Carr Nom. comp. 56–57; Schönfeld PVN 6–8; Feist 34; Lehmann GED 25.
*alanan str.vb.	Goth alan ‘to grow on, to feed on’, ON ala ‘to beget, to bear’, OE alan ‘to nourish, to grow, to produce’. Related to Lat alō ‘to nourish’, OIr alim id. Schweizer KZ I 558 (to Lat part. altus); Torp-Falk 20; Holthausen AEEW 3; Walde-Hofmann I 31–32; Feist 34; Jóhannesson IEW 37–38; Pokorny I 26; Vries ANEW 4–5; Seebold 75–77; Lehmann GED 25.
